id,week_number,precise_rating,number_of_ratings,number_of_ratings_per_week
36,4,4.1579,152,0.0
36,15,4.129,155,3.0
38,1,3.9649,57,0.0
38,2,3.9828,58,1.0
38,3,3.9828,58,0.0
38,4,3.9138,58,0.0
38,6,3.8644,59,1.0
38,9,3.85,60,1.0
38,10,3.85,60,0.0
38,16,3.85,60,0.0
38,17,3.85,60,0.0
39,1,3.9028,72,0.0
39,4,3.9041,73,1.0
40,1,3.5597,134,0.0
40,4,3.6309,149,15.0
41,1,3.8938,386,0.0
41,4,3.8821,390,4.0
42,1,3.44,25,0.0
42,2,3.44,25,0.0
42,3,3.44,25,0.0
42,4,3.44,25,0.0
42,6,3.44,25,0.0
42,9,3.44,25,0.0
42,10,3.44,25,0.0
42,16,3.44,25,0.0
42,17,3.44,25,0.0
43,1,3.9844,192,0.0
43,4,3.945,200,8.0
44,1,3.4,5,0.0
44,2,3.4,5,0.0
44,4,3.4,5,0.0
44,5,3.4,5,0.0
45,1,4.0172,58,0.0
45,4,3.95,60,2.0
45,15,3.8548,62,2.0
45,16,3.8548,62,0.0
46,1,0.0,0,0.0
46,4,0.0,0,0.0
46,15,0.0,0,0.0
46,16,0.0,0,0.0
48,1,4.188,484,0.0
48,4,4.1824,488,4.0
51,1,4.0,2,0.0
51,4,4.0,2,0.0
51,21,4.0,2,0.0
51,24,4.0,2,0.0
51,25,4.0,2,0.0
51,32,4.0,2,0.0
51,36,4.0,2,0.0
51,38,4.0,2,0.0
51,46,4.0,2,0.0
52,1,3.4141,128,0.0
52,4,3.3657,134,6.0
52,15,3.3957,139,5.0
52,16,3.3957,139,0.0
54,1,3.6316,323,0.0
54,4,3.6257,334,11.0
56,1,3.5,108,0.0
56,2,3.5,108,0.0
56,4,3.5138,109,1.0
56,5,3.5607,107,-2.0
57,1,4.6234,77,0.0
57,4,4.6234,77,0.0
57,15,4.5443,79,2.0
57,16,4.5443,79,0.0
58,1,4.2648,253,0.0
58,2,4.2607,257,4.0
58,4,4.2625,259,2.0
58,5,4.2654,260,1.0
59,1,3.7101,1221,0.0
59,4,3.7092,1245,24.0
59,15,3.7247,1264,19.0
59,16,3.7257,1265,1.0
60,1,3.2834,307,0.0
60,4,3.2958,311,4.0
60,5,3.3107,309,-2.0
60,26,3.3412,340,31.0
60,34,3.3352,355,15.0
60,37,3.3343,359,4.0
61,1,4.129,93,0.0
61,4,4.1383,94,1.0
61,7,4.1383,94,0.0
61,8,4.1383,94,0.0
61,11,4.1383,94,0.0
61,12,4.1383,94,0.0
61,14,4.1383,94,0.0
61,17,4.1383,94,0.0
61,18,4.1368,95,1.0
61,30,4.1308,107,12.0
61,35,4.1545,110,3.0
61,40,4.177,113,3.0
61,50,4.1478,115,2.0
64,1,4.5625,160,0.0
64,4,4.566,159,-1.0
64,5,4.566,159,0.0
65,1,4.5758,66,0.0
65,2,4.5821,67,1.0
65,3,4.5882,68,1.0
65,4,4.5882,68,0.0
65,6,4.5942,69,1.0
65,7,4.5942,69,0.0
65,8,4.5942,69,0.0
65,10,4.5942,69,0.0
65,11,4.6,70,1.0
65,12,4.5429,70,0.0
65,14,4.6056,71,1.0
65,18,4.5972,72,1.0
65,19,4.5972,72,0.0
65,22,4.5972,72,0.0
65,23,4.5972,72,0.0
65,27,4.5972,72,0.0
65,28,4.6027,73,1.0
65,29,4.5946,74,1.0
65,39,4.5385,78,4.0
65,41,4.5443,79,1.0
65,42,4.5443,79,0.0
65,45,4.5443,79,0.0
66,1,3.0338,325,0.0
66,4,3.0427,328,3.0
67,1,3.2222,9,0.0
